username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
AP Images,21024997,16-10-2018 20:34,"50 years ago today, American athletes Tommie Smith and John Carlos sparked controversy at the Mexico City Olympics... https://t.co/XggDay0IeQ",375,None,165291,894,0,0
,,,,,,,,,
"Khary Penebaker, Fx",53503202,16-10-2018 11:48,"50 yrs ago today, after competing in the 200m dash, American athletes Tommie Smith &amp; John Carlos raised their fists... https://t.co/MCFESRHyhu",535,None,85125,50689,0,0
,,,,,,,,,
Olympics,52422878,12-10-2018 14:05, The official poster of 1968 Olympic Games in Mexico. #Mexico1968 #OnThisDay #OpeningCeremony @50AnivMexico68 https://t.co/7HsbGXIdvi,169,Mexico1968,6215311,4845,0,0
,,,,,,,,,
Olympics,52422878,12-10-2018 12:04,Congratulations Usain Bolt on scoring your first two goals![?][?][?] #Football @usainbolt @CCMariners https://t.co/BHHJaUo7PD,113,Football,6215311,4845,0.3125,0.333333333
,,,,,,,,,
Olympics,52422878,12-10-2018 14:10,   Congratulations to Takeru Kitazono from #Japan  Men's All-Around #ArtisticGymnastics #YouthOlympics... https://t.co/VNNBifiTBq,75,Japan,6215311,4845,0.2,0.4
,,,,,,,,,
Olympics,52422878,12-10-2018 12:10,Great photos from Day 5 @BuenosAires2018 @YouthOlympics #BuenosAires2018 #GameChangers https://t.co/STD6s771oT,75,BuenosAires2018,6215311,4845,0.8,0.75
,,,,,,,,,
Olympic Channel,3163717636,12-10-2018 12:34,Erza Muminoviq became Kosovo's first #YouthOlympics medallist and she is inspired by the first @Olympics medallist... https://t.co/e8ZFjDF4lr,39,YouthOlympics,368784,5009,0.25,0.333333333
,,,,,,,,,
Goal,26809005,12-10-2018 10:11,"Usain Bolt at the Olympics:


Usain Bolt on the football pitch:
[?][?] https://t.co/X3S0UZi5vW",46,None,818060,262,-0.75,1
,,,,,,,,,
SA Hockey,218065824,12-10-2018 19:13,The SA U18 girls have just qualified for the Semi Finals of the Youth Olympics by beating Australia in shoot outs ... https://t.co/bRML7nWdYS,45,None,30404,1834,0,0
,,,,,,,,,
The Star,22594051,12-10-2018 08:22,"Japanese yakuza are recruiting homeless people to build facilities for 2020 Tokyo Olympics
https://t.co/gGQJFIWTrY https://t.co/kYspbGiXqm",41,None,1474130,117,0,0
,,,,,,,,,
Fox News,1367531,12-10-2018 18:21,Sailors and Civilians assigned to Naval Support Activity (NSA) Mid-South participated in firefighter Olympics at th... https://t.co/5mguJO3nz3,48,None,18200745,399,0,0
,,,,,,,,,
"UNHCR, the UN Refugee Agency",14361155,12-10-2018 07:49,"International Olympic Committee announces a refugee team will again compete, following historic debut at Rio 2016 S... https://t.co/QZ42wvEX9A",41,None,2250104,1227,0,0.033333333
,,,,,,,,,
Olympics,52422878,12-10-2018 12:50,Congratulations to Karen Maragaryan for the first Armenian  gold medal of the Youth Olympic Games... https://t.co/yFUucXDG4Y,42,None,6215311,4845,0.25,0.333333333
,,,,,,,,,
taapsee pannu,132992534,12-10-2018 08:21,"So so proud ! 
@lakshya_sen is in the finals of youth Olympics 2018 
So happy to have you in @7acespune  ! Can't wa... https://t.co/VwwkTt9BG0",39,None,3710251,137,1,1
,,,,,,,,,
GEN(R) Marty Dempsey,46131997,12-10-2018 16:44,"Congrats to Coaches Steve Kerr, Nate McMillan, and Jay Wright who join head coach Gregg Popovich to lead our Men's... https://t.co/B4A8QOLGis",37,None,98725,47,0,0
,,,,,,,,,
Vala Afshar,259725229,12-10-2018 15:23,Just a robot doing parkour ... a preview of the 2028 machine olympics https://t.co/FMsl8oi4mX,50,None,313369,330,0,0
,,,,,,,,,
CBC News Alerts,19038934,12-10-2018 17:24,Canada's Beckie Scott 'bullied' by colleagues on World Anti-Doping Agency panel for opposing Russia's Olympic reins... https://t.co/AOu5Qsi4oO,39,None,1116304,575,0,0
