created,text,retwc,hashtag,followers,friends
18-10-2018 16:29,b'RT @vdharam2000: @aarsh_thakur @noidapolice @DelhiPolice @sspnoida @igrangemeerut @adgzonemeerut @dgpup @ajay85ldh @spcitynoida @ajay_sharm\xe2\x80\xa6',6,None,54,163
,,,,,
18-10-2018 16:29,"b'Latest Ruthie Me and My Dad is here https://t.co/Ok24rVclEr with weekly less/fewer debate, reaction to Churchill ra\xe2\x80\xa6 https://t.co/XgV0A10gqp'",0,None,28520,1251
,,,,,
18-10-2018 16:29,b'RT @sankrant: There is an allegation someone kissed inappropriately or just made someone feel uncomfortable. Hell breaks loose. \nThere is a\xe2\x80\xa6',449,None,197,327
,,,,,
18-10-2018 16:29,b'On what planet was this a good idea? #metoo https://t.co/Ug6vywpOJ2',0,metoo,2249,1583
,,,,,
18-10-2018 16:29,b'RT @bainjal: So the woman is at fault? Not the creepy disgusting serial sex pest Akbar? A woman should anticipate that she will be greeted\xe2\x80\xa6',76,None,864,1367
,,,,,
18-10-2018 16:29,b'#MeToo Now anybody who is somebody has been accused. I have still not been accused. This is a deliberate ad careful\xe2\x80\xa6 https://t.co/gB6GG8Wc5j',0,MeToo,882,736
,,,,,
18-10-2018 16:29,"b'RT @Rajput_Ramesh: Heart breaking picture, the poor nun is weeping because judiciary, media, govt and all of us let her down. A rapist Bish\xe2\x80\xa6'",628,None,194,877
,,,,,
18-10-2018 16:29,"b""RT @DeManeDavis: Game Changer! #ThankYou in advance @TaranaBurke for what you'll do.\nAnd for what you've done. #MeToo https://t.co/ebyhHfrj\xe2\x80\xa6""",13,ThankYou,195,602
,,,,,
18-10-2018 16:29,"b'Incredible.  You @chelseahandler call Pres Trump all kinds of names and then you endorse @SenatorMenendez, a child\xe2\x80\xa6 https://t.co/BG3lKr6BsV'",0,None,7858,8046
,,,,,
18-10-2018 16:29,b'RT @businessline: Why do corporates shy away from unmasking managers who make sexual advances towards their colleagues? What can HR do? Joi\xe2\x80\xa6',3,None,97,52
,,,,,
18-10-2018 16:29,"b'RT @FoundationMf: With #MeToo gathering momentum, we need to recognize that sexual harassment is not just physical, but also verbal, non-ve\xe2\x80\xa6'",11,MeToo,123,420
,,,,,
18-10-2018 16:29,"b'RT @ScottJoseph555: @LisaSmith4680 @usacit1970 So much for the #MeToo movement, right @chelseahandler ? Priorities, gotta keep the Socialis\xe2\x80\xa6'",3,MeToo,2608,2641
,,,,,
18-10-2018 16:29,"b""RT @KPadmaRani1: So many Akbars \nLet's see who are they \n\n1/n \nFormer Delhi BJP MLA Vijay Jolly booked for rape after victim alleges he dru\xe2\x80\xa6""",181,None,289,450
,,,,,
18-10-2018 16:29,b'RT @MatthewACherry: Any project that revolves around the #MeToo movement needs to get @TaranaBurke\xe2\x80\x99s blessing and to cut her a check before\xe2\x80\xa6',44,MeToo,72,148
,,,,,
18-10-2018 16:29,"b'RT @jodikantor: Eight men, as old as 82, write with regret about how they sexually violated, coerced and took advantage of women years ago.\xe2\x80\xa6'",30,None,977,1445
,,,,,
18-10-2018 16:29,"b'RT @theblaze: Looks like Hillary may be losing her ""get out of jail free"" card. https://t.co/3TVg2gfayy'",16,None,182,808
,,,,,
18-10-2018 16:29,"b'RT @pankajontech: @maheshmurthy @Swatisays @factordaily @YourStoryCo @EconomicTimes India\xe2\x80\x99s #Weinstein or not, there seems little doubt tha\xe2\x80\xa6'",94,Weinstein,318,1035
,,,,,
18-10-2018 16:29,"b'RT @meetgoogle: Can someone hear plight of this #MenToo?\n\nOr, followers of #MeToo #MeeTooIndia, specially MEDIA $ POLITICIANS, will just ig\xe2\x80\xa6'",18,MenToo,110,157
,,,,,
18-10-2018 16:29,"b""RT @pandey_amrish: Indian Youth Congress  played pivotal role in highlighting the truth behind MJ Akbar's misconduct\n\nThe New York Times &amp;\xe2\x80\xa6""",26,None,2555,285
