created,text,retwc,hashtag,followers,friends
18-10-2018 14:39,b'RT @ChuckModi1: How is it even possible that I\xe2\x80\x99m seeing this picture of Bob Beamon on the left for the very first time? Why hasn\xe2\x80\x99t his soli\xe2\x80\xa6',4,None,356,435
,,,,,
18-10-2018 14:39,b'RT @InterMat: NBC Olympics to showcase World Championships with nearly 30 hours of coverage https://t.co/3ZdTN6VfPq https://t.co/zhM7jdVuvG',64,None,33,72
,,,,,
18-10-2018 14:39,"b'@Diamond__Lights @VanTomas2 @armyjobs Or your mates or supporting other public services such as the 2012 Olympics,\xe2\x80\xa6 https://t.co/OwNDJWd15b'",0,None,12,53
,,,,,
18-10-2018 14:39,b'RT @SportsCenter: Former USA Gymnastics president Steve Penny was arrested Wednesday on charge of tampering with Larry Nassar evidence. htt\xe2\x80\xa6',136,None,61,256
,,,,,
18-10-2018 14:39,b'RT @LadyLilaBrown: @kanyewest ADI DASSLER OLYMPICS',2,None,4356,4310
,,,,,
18-10-2018 14:38,b'RT @Prem_S: This is crazy. First the misconduct report is redacted now the #Olympics leaked numbers? Does #yyccc play with black jiffy mark\xe2\x80\xa6',7,Olympics,940,2275
,,,,,
18-10-2018 14:38,"b'RT @Mwana_nchi: KUMBE Hassan WaRio alikula za RIO Olympics??\n\nTo other heroes, learn from Kipchoge Keino DO NOT ENTER POLITICS OR BOARDS!\xe2\x80\xa6'",12,None,938,1286
,,,,,
18-10-2018 14:38,b'RT @jeremycorbyn: A fitting tribute to Tessa Jowell who did so much to bring the Olympics to London.\n\nToday her family and friends remember\xe2\x80\xa6',192,None,380,670
,,,,,
18-10-2018 14:38,b'RT @DecaturParks: This Thursday come support Morgan County Special Olympics at River City Lanes! https://t.co/Z6Nbat740C',1,None,27964,30360
,,,,,
18-10-2018 14:38,b'RT @iykimo: Governing Board of NHIS has suspended Executive Secretary NHIS Usman Yusuf for financial infractions.\n\nThe last time Health Min\xe2\x80\xa6',17,None,1590,441
,,,,,
18-10-2018 14:38,b'RT @InstituteGC: Tessa was that rare combination - a thinker whose thought was a precursor to action. She had the audacity to conceive of t\xe2\x80\xa6',13,None,533,466
,,,,,
18-10-2018 14:38,b'RT @GVundu: .@tumisole - this kid is on fire! Proudly SA. We keep on delivering top sprinters. https://t.co/VA8FDTznLD',19,None,476,254
,,,,,
18-10-2018 14:38,"b'@mrjamesob James, as a passionate remainer and as someone that has lived in the EU and outside of the UK for the be\xe2\x80\xa6 https://t.co/5gmAEzECPI'",0,None,0,16
,,,,,
18-10-2018 14:38,"b""These days, find myself haunted by how @no_boston2024 frequently, &amp; rightly, framed the Olympics' myriad wrongs as\xe2\x80\xa6 https://t.co/kNCR2SOWe3""",0,None,1072,2105
,,,,,
18-10-2018 14:38,b'RT @CeeNoir: Why must ppl do coughing olympics in lectures pls ?',338,None,464,309
,,,,,
18-10-2018 14:37,b'RT @SportsCenter: Former USA Gymnastics president Steve Penny was arrested Wednesday on charge of tampering with Larry Nassar evidence. htt\xe2\x80\xa6',136,None,171,1205
,,,,,
18-10-2018 14:37,b'RT @jasonmbryant: NBC OLYMPICS PRESENTS COVERAGE OF UWW WORLD WRESTLING CHAMPIONSHIPS THIS WEEKEND FROM BUDAPEST https://t.co/Aj3baTUiOO',129,None,44,16
,,,,,
18-10-2018 14:37,b'RT @iykimo: Governing Board of NHIS has suspended Executive Secretary NHIS Usman Yusuf for financial infractions.\n\nThe last time Health Min\xe2\x80\xa6',17,None,681,1613
